# SkillTable
# key 형식: {캐릭터ID}_{SkillKey}      (일반)
#           {캐릭터ID}_{SkillKey}_M    (마법 전환)
# SkillKey: Passive, E, F, Space, L, R, SL, LR
# description/opinion 안에는 쉼표(,)를 쓰지 마세요 (CSV 구분자)
key, description, opinion

# ===== BAREHAND =====
BAREHAND_Passive, 패시브 설명, 맨손 패시브에 대한 의견
BAREHAND_E, E스킬 설명, 맨손 E스킬에 대한 의견
BAREHAND_F, F스킬 설명, 맨손 F스킬에 대한 의견
BAREHAND_Space, Space스킬 설명, 맨손 Space스킬에 대한 의견
BAREHAND_L, L스킬 설명, 맨손 L스킬에 대한 의견
BAREHAND_R, R스킬 설명, 맨손 R스킬에 대한 의견
BAREHAND_SL, SL스킬 설명, 맨손 SL스킬에 대한 의견
BAREHAND_LR, LR스킬 설명, 맨손 LR스킬에 대한 의견
BAREHAND_Passive_M, 마법 패시브 설명, 맨손 마법 패시브에 대한 의견
BAREHAND_E_M, 마법 E스킬 설명, 맨손 마법 E스킬에 대한 의견
BAREHAND_F_M, 마법 F스킬 설명, 맨손 마법 F스킬에 대한 의견
BAREHAND_Space_M, 마법 Space스킬 설명, 맨손 마법 Space스킬에 대한 의견
BAREHAND_L_M, 마법 L스킬 설명, 맨손 마법 L스킬에 대한 의견
BAREHAND_R_M, 마법 R스킬 설명, 맨손 마법 R스킬에 대한 의견
BAREHAND_SL_M, 마법 SL스킬 설명, 맨손 마법 SL스킬에 대한 의견
BAREHAND_LR_M, 마법 LR스킬 설명, 맨손 마법 LR스킬에 대한 의견

# ===== AXE =====
AXE_Passive, 패시브 설명, 도끼 패시브에 대한 의견
AXE_E, E스킬 설명, 도끼 E스킬에 대한 의견
AXE_F, F스킬 설명, 도끼 F스킬에 대한 의견
AXE_Space, Space스킬 설명, 도끼 Space스킬에 대한 의견
AXE_L, L스킬 설명, 도끼 L스킬에 대한 의견
AXE_R, R스킬 설명, 도끼 R스킬에 대한 의견
AXE_SL, SL스킬 설명, 도끼 SL스킬에 대한 의견
AXE_LR, LR스킬 설명, 도끼 LR스킬에 대한 의견
AXE_Passive_M, 마법 패시브 설명, 도끼 마법 패시브에 대한 의견
AXE_E_M, 마법 E스킬 설명, 도끼 마법 E스킬에 대한 의견
AXE_F_M, 마법 F스킬 설명, 도끼 마법 F스킬에 대한 의견
AXE_Space_M, 마법 Space스킬 설명, 도끼 마법 Space스킬에 대한 의견
AXE_L_M, 마법 L스킬 설명, 도끼 마법 L스킬에 대한 의견
AXE_R_M, 마법 R스킬 설명, 도끼 마법 R스킬에 대한 의견
AXE_SL_M, 마법 SL스킬 설명, 도끼 마법 SL스킬에 대한 의견
AXE_LR_M, 마법 LR스킬 설명, 도끼 마법 LR스킬에 대한 의견

# ===== DAGGER =====
DAGGER_Passive, 패시브 설명, 단검 패시브에 대한 의견
DAGGER_E, E스킬 설명, 단검 E스킬에 대한 의견
DAGGER_F, F스킬 설명, 단검 F스킬에 대한 의견
DAGGER_Space, Space스킬 설명, 단검 Space스킬에 대한 의견
DAGGER_L, L스킬 설명, 단검 L스킬에 대한 의견
DAGGER_R, R스킬 설명, 단검 R스킬에 대한 의견
DAGGER_SL, SL스킬 설명, 단검 SL스킬에 대한 의견
DAGGER_LR, LR스킬 설명, 단검 LR스킬에 대한 의견
DAGGER_Passive_M, 마법 패시브 설명, 단검 마법 패시브에 대한 의견
DAGGER_E_M, 마법 E스킬 설명, 단검 마법 E스킬에 대한 의견
DAGGER_F_M, 마법 F스킬 설명, 단검 마법 F스킬에 대한 의견
DAGGER_Space_M, 마법 Space스킬 설명, 단검 마법 Space스킬에 대한 의견
DAGGER_L_M, 마법 L스킬 설명, 단검 마법 L스킬에 대한 의견
DAGGER_R_M, 마법 R스킬 설명, 단검 마법 R스킬에 대한 의견
DAGGER_SL_M, 마법 SL스킬 설명, 단검 마법 SL스킬에 대한 의견
DAGGER_LR_M, 마법 LR스킬 설명, 단검 마법 LR스킬에 대한 의견

# ===== HANDGUN =====
HANDGUN_Passive, 패시브 설명, 권총 패시브에 대한 의견
HANDGUN_E, E스킬 설명, 권총 E스킬에 대한 의견
HANDGUN_F, F스킬 설명, 권총 F스킬에 대한 의견
HANDGUN_Space, Space스킬 설명, 권총 Space스킬에 대한 의견
HANDGUN_L, L스킬 설명, 권총 L스킬에 대한 의견
HANDGUN_R, R스킬 설명, 권총 R스킬에 대한 의견
HANDGUN_SL, SL스킬 설명, 권총 SL스킬에 대한 의견
HANDGUN_LR, LR스킬 설명, 권총 LR스킬에 대한 의견
HANDGUN_Passive_M, 마법 패시브 설명, 권총 마법 패시브에 대한 의견
HANDGUN_E_M, 마법 E스킬 설명, 권총 마법 E스킬에 대한 의견
HANDGUN_F_M, 마법 F스킬 설명, 권총 마법 F스킬에 대한 의견
HANDGUN_Space_M, 마법 Space스킬 설명, 권총 마법 Space스킬에 대한 의견
HANDGUN_L_M, 마법 L스킬 설명, 권총 마법 L스킬에 대한 의견
HANDGUN_R_M, 마법 R스킬 설명, 권총 마법 R스킬에 대한 의견
HANDGUN_SL_M, 마법 SL스킬 설명, 권총 마법 SL스킬에 대한 의견
HANDGUN_LR_M, 마법 LR스킬 설명, 권총 마법 LR스킬에 대한 의견

# ===== MAGIC =====
MAGIC_Passive, 패시브 설명, 마법 패시브에 대한 의견
MAGIC_E, E스킬 설명, 마법 E스킬에 대한 의견
MAGIC_F, F스킬 설명, 마법 F스킬에 대한 의견
MAGIC_Space, Space스킬 설명, 마법 Space스킬에 대한 의견
MAGIC_L, L스킬 설명, 마법 L스킬에 대한 의견
MAGIC_R, R스킬 설명, 마법 R스킬에 대한 의견
MAGIC_SL, SL스킬 설명, 마법 SL스킬에 대한 의견
MAGIC_LR, LR스킬 설명, 마법 LR스킬에 대한 의견
MAGIC_Passive_M, 마법 패시브 설명, 마법 마법전환 패시브에 대한 의견
